path	sha256	size_bytes	text	line_count	nfc	lf_only
.bolt/mcp.json	5d2c70e56efe18c212678901ede075c02ca982810aaff52eeb4ec7112f95759b	70	true	7	true	true
.coverage	438af7a8ef1d8472aa86f2850c8f93d5f58318e7decb74e2e691df47633b6f3c	61440	false	-	-	-
.dockerignore	20f4a111bbb5164838ea1e68e33edbb1b3ca17139bab23eab1b6b13ecfd6827f	987	false	-	-	-
.env.example	2d6c84414f6fd7c6eb3014765686eb8b70ab0477ec3934423158a5d5f3f1737d	2662	false	-	-	-
.github/CODEOWNERS	8ab0aafd24a119fc06308ebf2924aa3ff55bbba95869fe1207808267e6c06e11	359	false	-	-	-
.github/ISSUE_TEMPLATE/bug_report.md	67f04dcd7b80742f95961764522f70c943cdbd36c6dd7dfd1684cdbdb548e2fb	1109	true	42	true	true
.github/ISSUE_TEMPLATE/security_report.md	caf81ac3add8d7b1e4b5e68fbfde7e0827ae2cea619b7c98a67f557f32a53b04	290	true	9	true	true
.github/PULL_REQUEST_TEMPLATE.md	2a08d6bc951244f2ba80bcfb006d63d10a673b60059c88c607467b522360fd82	2005	true	49	true	true
.github/dependabot.yml	aa400814718922f451d340c354ef94e47efc4f74fbb342d3e49ab2c2a62e638e	2623	true	72	true	true
.github/workflows/ci.yml	07a84aea80683e0b542c57af06d07b5d2c55dd757d36933c9371397b7a08ebb0	21623	true	523	true	true
.github/workflows/forensic.yml	4f799591f8c8c368c3ecb03b34236365b49b4357ffac737a18830689ab100f66	2928	true	90	true	true
.github/workflows/pqc-timing.yml	4e5965829e4df24b0936fb98b87982a6bcee38739580a5204b74540cce4e1604	1980	true	59	true	true
.github/workflows/publish.yml	244254b3d9aa57c71904ba1f9a715b7f9080a4f5f5dd30d4045f313cef362cec	3587	true	105	true	true
.github/workflows/release.yml	a51f15e3e55f7e3a4d332821ab087fad7ccedea11e1bb29e0438628cd44572f8	9813	true	244	true	true
.github/workflows/security.yml	dc63e3b05533d7050fd04cdf58d4ec4a76cebf21fb7dffad24f4cb5f7b156c95	7397	true	196	true	true
.gitignore	892b555c7a059714d0acbc3f13e5ded080b0da428a5a485c310d58a3f9458af9	786	false	-	-	-
.trivyignore	96a60f9f8d732e63ead4e07d7518cec833f75ff8dffd9a8e1119299e8aeb1ece	1763	false	-	-	-
AEGIS_EXECUTION_REPORT_2026-08-20.md	6c0c5b3b5086eeb2023c3c92a3072efe21a91d26bc345a341715d34412141282	11900	true	109	true	true
AUTHORS	868150785980d38db6aba0491c5ab1d624000d8625b971c0708b5ea8a5bb288e	615	false	-	-	-
CHANGELOG.md	9dd2ccd72d7d3364b907dc7ab840726527302debe63c39097d470f666c12aa50	30278	true	441	true	true
COMMERCIAL.md	c2b59e5b4e5f252ae4bafe7c79e7e8cc2199f19f35b7cb5ae02f5564387ca412	7232	true	72	true	true
CONTRIBUTING.md	f7cbdfed1c2831f4146ee0ee7ca563041d839e8536347daaab01885eed566c64	10108	true	237	true	true
DEPLOYMENT_GUIDE.md	821d72248235b17b1f04659d8b955d8d149d97a8520611d2dc8194c0de11cf20	13592	true	171	true	true
LICENSE	c81dcf9f3237487822edd890ac2c58e202cf69dd0d68541c8633f10fb4dd5d2c	33134	true	636	true	true
Makefile	42b6de20e910237edc221cabef55e8f18ebdaaa59c9e237de2e314588c15bd22	2368	true	73	true	true
NOTICE	154dc12afdefce753d4d1604be14f954757c57461e0fc2d3d98d60342986467c	1360	false	-	-	-
README.md	e53d98a9fe8785e4b1c91242f37920532f7037a325de481d5b5c2cebd260b22e	32236	true	330	true	true
SECURITY.md	5f04711564add1d7a071495b51dd818feb97e6d7a447f7ea800084ec6606affb	8414	true	101	true	true
SECURITY_AUDIT_EXECUTION_LOG.md	9c4823c54a2644ae68e492bcbb35e60b54dedac22856b129ed240ea44353225f	11158	true	219	true	true
SECURITY_AUDIT_REPORT.md	019b6ef71032ba522a50e02ef5f6c0895f395a33119c4227378d40aeb8310760	5419	true	81	true	true
Samples/01-overview.html	0adbc958554a87aa52f542ff8f420c18a264efaad22a76262bd8f6322e9009d2	150068	false	-	-	-
